evolved_compound,grown_compound,strain,repl,growth_rate,rel_growth_rate,growth_ratio,exp_name
"1,2-propanediol",M9,12PD7-5,1,0.6192674510377458,-0.04485519765519852,0.9324594670224277,12PD
"1,2-propanediol",M9,12PD7-7,2,0.7185568404405711,0.05443419174762676,1.0819640647021425,12PD
"1,2-propanediol",M9,12PD8-7,3,0.8772739246001326,0.2131512759071883,1.320951674102201,12PD
NA,M9,MG1655,4,0.7134393472780519,0.049316698585107566,1.0742584200104717,12PD
"1,2-propanediol",M9,12PD1-10,1,0.9054802199401522,0.2413575712472078,1.3634231895602749,12PD
"1,2-propanediol",M9,12PD2-8,2,0.6059762589414316,-0.05814638975151276,0.9124463081240336,12PD
"1,2-propanediol",M9,12PD3-7,3,0.833772118674171,0.16964946998122665,1.2554490052629776,12PD
"1,2-propanediol",M9,12PD4-6,1,0.8367041904729788,0.1725815417800345,1.259863960549593,12PD
"1,2-propanediol",M9,12PD4-9,2,0.7118292580535053,0.047706609360560925,1.0718340346537676,12PD
"1,2-propanediol",M9,12PD5-3,3,0.864483770203579,0.20036112151063468,1.3016929506996398,12PD
"1,2-propanediol",M9,12PD6-6,1,0.7562778628227772,0.09215521412983285,1.138762342033061,12PD
"1,2-propanediol",M9,12PD7-5,2,0.712229156313678,0.04810650762073365,1.0724361798463158,12PD
"1,2-propanediol",M9,12PD7-7,3,0.6773997224733997,0.013277073780455395,1.0199919003012259,12PD
"1,2-propanediol",M9,12PD8-10,1,0.9151614539015089,0.2510388052085646,1.378000668555172,12PD
NA,M9,MG1655,5,0.6975713276609362,0.03344867896799186,1.0503652134644437,12PD
"1,2-propanediol",M9,12PD1-10,2,0.8833615300316273,0.21923888133868297,1.3301180614306192,12PD
"1,2-propanediol",M9,12PD2-8,3,0.7242576849862021,0.06013503629325778,1.0905480883863985,12PD
"1,2-propanediol",M9,12PD3-8,1,0.6669556285053128,0.002832979812368408,1.0042657479276516,12PD
"1,2-propanediol",M9,12PD4-6,2,0.7220912716996775,0.05796862300673311,1.087286020316911,12PD
"1,2-propanediol",M9,12PD4-9,3,0.81662015781681,0.15249750912386562,1.22962250937232,12PD
"1,2-propanediol",M9,12PD5-9,1,0.9204886987411923,0.256366050048248,1.3860221459888478,12PD
"1,2-propanediol",M9,12PD6-6,2,0.7140150556802749,0.04989240698733055,1.0751252906154058,12PD
"1,2-propanediol",M9,12PD7-5,3,0.8136622137135071,0.14953956502056276,1.225168596967549,12PD
"1,2-propanediol",M9,12PD8-6,1,0.6861234284661106,0.02200077977316628,1.0331275854188469,12PD
"1,2-propanediol",M9,12PD8-10,2,0.9184051746759293,0.25428252598298495,1.38288488803,12PD
"1,2-propanediol",M9,12PD1-2,1,0.9752063725005695,0.31108372380762517,1.4684130625869591,12PD
"1,2-propanediol",M9,12PD1-10,3,0.7634659917817068,0.09934334308876247,1.1495858382247308,12PD
"1,2-propanediol",M9,12PD2-9,1,0.7162813908356174,0.05215874214267302,1.0785378156359016,12PD
"1,2-propanediol",M9,12PD3-8,2,0.7488725606889672,0.08474991199602289,1.12761183820913,12PD
"1,2-propanediol",M9,12PD4-6,3,0.7486670738506246,0.08454442515768024,1.1273024272309815,12PD
"1,2-propanediol",M9,12PD5-1,1,0.7045137922746866,0.04039114358174223,1.0608188015590732,12PD
"1,2-propanediol",M9,12PD5-9,2,0.7897785637722471,0.12565591507930274,1.1892058873863214,12PD
